Time_Iter,Outer_Iter,Inner_Iter,"    ""rms[Rho]""    ","    ""rms[RhoU]""   ","    ""rms[RhoV]""   ","    ""rms[RhoE]""   ","     ""rms[k]""     ","     ""rms[w]""     "
0,0,0,1.5606605,4.2959177,-9.7006086,8.3178861,-13.024476,3.0286488
0,0,1,1.3577205,4.109334,2.8654953,8.1055951,-8.9113144,3.1641533
0,0,2,1.1515728,4.0202312,3.0152899,7.9135497,-9.000166,3.2659087
0,0,3,1.0046409,3.9439591,3.1119712,7.7905514,-9.0065508,3.3804695
0,0,4,0.96004257,3.8885041,3.1299341,7.7437573,-8.0803607,3.4626306
0,0,5,0.94065662,3.8533589,3.1163249,7.7198496,-4.7712262,3.5068694
0,0,6,0.92408789,3.8274555,3.1021082,7.7031981,-3.3422436,3.5302855
0,0,7,0.90930088,3.8048517,3.0958728,7.6890137,-2.7442356,3.5458243
0,0,8,0.89586244,3.7834299,3.0961165,7.6755682,-2.3836126,3.5599788
0,0,9,0.88331431,3.7623642,3.0974251,7.6626129,-2.082748,3.5513241
0,0,10,0.87145544,3.7413354,3.0944665,7.6501896,-1.788012,3.5271505
0,0,11,0.86026045,3.7208141,3.0839107,7.6383629,-1.4677312,3.5125484
0,0,12,0.84934626,3.7013931,3.0609682,7.6266974,-1.120859,3.5171609
0,0,13,0.83830408,3.6838907,3.0251684,7.6147171,-0.75000883,3.5239168
0,0,14,0.82675178,3.6687356,2.9795379,7.6018874,-0.39172595,3.526907
0,0,15,0.81491076,3.657235,2.942731,7.5881496,-0.04214087,3.5358154
0,0,16,0.80525564,3.6539458,2.9479969,7.5755424,0.28744808,3.6258899
0,0,17,0.8037098,3.6669422,3.0950025,7.5713905,0.59971879,3.8309781
0,0,18,0.82148633,3.6832974,3.2861507,7.5880635,0.90496779,4.1056329
0,0,19,0.86179376,3.6855673,3.3640627,7.6284669,1.202432,4.3960853
0,0,20,0.88353736,3.6657432,3.3390277,7.6479889,1.4808888,4.6731012
0,0,21,0.86918588,3.7339294,3.3212013,7.6281666,1.7442031,4.9356487
0,0,22,0.85944212,3.8675556,3.4098385,7.6050307,1.9892153,5.1801101
0,0,23,0.85564016,4.0340026,3.3967389,7.5787704,2.2156664,5.4061291
0,0,24,0.78851948,3.9886187,3.3013453,7.5084623,2.4237225,5.6137424
0,0,25,0.65826789,3.8716813,3.1697192,7.3990374,2.6152654,5.8048038
0,0,26,0.54211002,3.8006259,3.1554247,7.3212489,2.7934311,5.9824145
0,0,27,0.47631876,3.8134257,3.0549573,7.2734648,2.9602637,6.1485993
0,0,28,0.42756644,3.8204786,2.969117,7.2271583,3.116823,6.3044092
0,0,29,0.34263929,3.815894,2.8794825,7.1386327,3.2629242,6.4496708
0,0,30,0.2315348,3.8063295,2.8083204,7.0230718,3.3977787,6.5836186
0,0,31,0.12294639,3.7891498,2.78861,6.9238719,3.5204779,6.705373
0,0,32,0.11122858,3.7670609,2.793988,6.9409958,3.6303747,6.8143166
0,0,33,0.18791475,3.7391907,2.7787155,7.0310497,3.7272322,6.910241
0,0,34,0.29090608,3.7035336,2.7493182,7.1330196,3.8111971,6.993319
0,0,35,0.38115201,3.659229,2.7316919,7.2192207,3.8826904,7.0639967
0,0,36,0.45085419,3.6044133,2.7383794,7.2852257,3.9422755,7.1228625
0,0,37,0.50101844,3.536905,2.7476107,7.332491,3.9905489,7.1705372
0,0,38,0.53417738,3.4535931,2.7563885,7.3633504,4.0280629,7.207596
0,0,39,0.55310087,3.348781,2.7596773,7.3802375,4.0552849,7.2345263
0,0,40,0.55613322,3.2066699,2.7554395,7.3810009,4.0725794,7.2517086
0,0,41,0.55373256,3.0481799,2.7488599,7.3761911,4.0801951,7.2594022
0,0,42,0.54082649,2.9681621,2.7623098,7.3607405,4.0782206,7.2577006
0,0,43,0.51760745,3.0945169,2.7829033,7.3347266,4.0664261,7.2463799
0,0,44,0.48856291,3.2344586,2.8004325,7.3026335,4.043935,7.224582
0,0,45,0.45013281,3.3364215,2.8346328,7.2612844,4.0079925,7.1896113
0,0,46,0.37740013,3.3959106,2.8573552,7.1858155,3.9495035,7.1326754
0,0,47,0.29321096,3.4333803,2.8516689,7.1014118,3.8419106,7.0283685
0,0,48,0.17553909,3.4610508,2.7496271,6.9914514,3.5097026,6.7070175
0,0,49,0.026231591,3.4918454,2.6164563,6.8727398,3.2767596,6.4464689
0,0,50,0.13945265,3.4279617,2.5137189,6.9871623,3.1441082,6.3258821
0,0,51,0.1315076,3.1370463,2.4576585,6.9672888,2.4687003,5.672081
0,0,52,-0.085561019,2.8913649,2.5166416,6.747617,2.7616048,5.9310373
0,0,53,-0.20488923,2.9936738,2.4541652,6.637226,2.8229799,5.9998817
0,0,54,-0.38514378,2.8290378,2.2726332,6.4552158,2.4526715,5.6395441
0,0,55,-0.76457253,2.4999545,2.1079196,6.0682865,1.4924181,4.598391
0,0,56,-1.0955502,2.2933699,1.9611501,5.7385713,1.9858183,5.1326496
0,0,57,-1.1694545,2.2172556,1.8102551,5.6701302,1.905642,4.985094
0,0,58,-1.3671578,2.0832625,1.6567494,5.470175,1.9413109,4.5168453
0,0,59,-1.6413407,1.9378741,1.5198992,5.1995841,2.1708795,4.2692274
0,0,60,-1.795985,1.8236063,1.3850932,5.0551399,2.4092582,4.2967793
0,0,61,-1.8979532,1.7260468,1.2435202,4.959119,2.6467974,4.1436725
0,0,62,-2.0051484,1.6406067,1.1034765,4.8581728,2.8837393,3.9865483
0,0,63,-2.0906268,1.5692599,0.96653749,4.7769221,3.1190357,3.8889398
0,0,64,-2.1624257,1.5037851,0.82966927,4.7082887,3.3525611,3.8051087
0,0,65,-2.2254258,1.4388928,0.70985892,4.6460868,3.5789882,3.7279757
0,0,66,-2.2595584,1.3863558,0.6455984,4.603593,3.7416102,3.6569083
0,0,67,-2.2456089,1.3721675,0.63899736,4.5998612,3.7192769,3.5874412
0,0,68,-2.220825,1.3697168,0.64064099,4.622516,3.6058931,3.5149922
0,0,69,-2.2262982,1.3370051,0.62908877,4.6266381,3.5126836,3.437585
0,0,70,-2.2660013,1.2756926,0.60815555,4.5960547,3.4095836,3.3559594
0,0,71,-2.3331632,1.1971107,0.56044586,4.5349583,3.2910619,3.2726882
0,0,72,-2.4163079,1.107778,0.4813712,4.4561199,3.1525639,3.1898698
0,0,73,-2.5111322,1.0113292,0.38337759,4.3643181,2.9816189,3.1078357
0,0,74,-2.6206339,0.90490494,0.26222078,4.2595495,2.8139904,3.0264237
0,0,75,-2.7422979,0.79015075,0.13598236,4.1422999,2.6516137,2.9457
0,0,76,-2.8673354,0.67208753,0.008761914,4.0200502,2.493399,2.8657529
0,0,77,-2.9877607,0.55517327,-0.11901897,3.9001344,2.3416163,2.7865245
0,0,78,-3.1002182,0.44148192,-0.24461378,3.7859017,2.1964894,2.7077484
0,0,79,-3.2040938,0.33164133,-0.36511467,3.6778554,2.0580914,2.6290694
0,0,80,-3.2992263,0.22583855,-0.47955172,3.5757684,1.9267843,2.5502831
0,0,81,-3.385683,0.1239834,-0.58788535,3.479278,1.8030652,2.4714024
0,0,82,-3.4640409,0.025694897,-0.69011516,3.3877984,1.6872992,2.3925955
0,0,83,-3.5352101,-0.069483799,-0.78637312,3.3006838,1.5794052,2.3140697
0,0,84,-3.6001853,-0.16186288,-0.87701772,3.217413,1.4786448,2.2359719
0,0,85,-3.6599046,-0.25153176,-0.96235635,3.1376003,1.3836434,2.1583598
0,0,86,-3.7151681,-0.33838391,-1.0425033,3.0609401,1.2926316,2.0812318
0,0,87,-3.7666479,-0.42217564,-1.1173491,2.9871768,1.203773,2.0045642
0,0,88,-3.8149179,-0.50258288,-1.186644,2.9161118,1.1154229,1.9283479
0,0,89,-3.860483,-0.57923979,-1.2501565,2.8476158,1.0262526,1.8526077
0,0,90,-3.9038005,-0.65176802,-1.3078383,2.7816302,0.93526254,1.7774003
0,0,91,-3.9452912,-0.71982005,-1.3599287,2.7181538,0.8417317,1.7028001
0,0,92,-3.9853396,-0.78314828,-1.4069677,2.6572137,0.74514882,1.6288815
0,0,93,-4.0242884,-0.84168507,-1.4497276,2.5988291,0.64514442,1.5557104
0,0,94,-4.0624353,-0.89559988,-1.4890984,2.5429772,0.54143399,1.4833411
0,0,95,-4.1000316,-0.94530396,-1.5259729,2.4895705,0.43377338,1.4118178
0,0,96,-4.137284,-0.99139712,-1.5611597,2.4384499,0.32192559,1.3411779
0,0,97,-4.1743571,-1.0345785,-1.595336,2.3893929,0.20563701,1.2714529
0,0,98,-4.2113774,-1.0755542,-1.6290319,2.3421328,0.084623189,1.202668
0,0,99,-4.2484388,-1.1149673,-1.6626397,2.2963825,-0.041434515,1.13484
0,0,100,-4.285608,-1.1533587,-1.6964329,2.2518564,-0.17287225,1.067975
0,0,101,-4.3229303,-1.1911561,-1.7305906,2.2082883,-0.30998456,1.0020683
0,0,102,-4.3604351,-1.2286797,-1.7652205,2.1654422,-0.45286893,0.93710464
0,0,103,-4.3981403,-1.2661589,-1.8003791,2.1231184,-0.6010545,0.87305923
0,0,104,-4.4360562,-1.3037496,-1.836087,2.0811539,-0.75268119,0.80989976
0,0,105,-4.4741883,-1.3415523,-1.8723413,2.0394204,-0.90294443,0.74758803
0,0,106,-4.512539,-1.3796265,-1.9091243,1.99782,-1.0422054,0.68608129
0,0,107,-4.5511092,-1.4180031,-1.9464094,1.9562797,-1.1569942,0.62533334
0,0,108,-4.589899,-1.4566933,-1.9841657,1.9147473,-1.2384973,0.56529575
0,0,109,-4.6289083,-1.4956956,-2.0223605,1.8731859,-1.2912527,0.5059189
0,0,110,-4.6681371,-1.5350005,-2.0609616,1.8315708,-1.3281474,0.44715283
0,0,111,-4.7075855,-1.5745943,-2.0999379,1.7898856,-1.3601518,0.38894878
0,0,112,-4.747254,-1.6144611,-2.139261,1.7481202,-1.3931317,0.33125887
0,0,113,-4.7871433,-1.6545845,-2.1789047,1.7062689,-1.4293478,0.27403771
0,0,114,-4.8272542,-1.6949487,-2.2188457,1.6643285,-1.4692473,0.21724241
0,0,115,-4.8675882,-1.7355389,-2.2590635,1.6222974,-1.5125048,0.16083274
0,0,116,-4.9081464,-1.7763419,-2.2995403,1.5801752,-1.5585116,0.10477157
0,0,117,-4.9489303,-1.817346,-2.3402606,1.537962,-1.6065918,0.049024694
0,0,118,-4.9899414,-1.858541,-2.3812112,1.495658,-1.6560939,-0.006439269
0,0,119,-5.0311812,-1.8999185,-2.4223812,1.453263,-1.7064302,-0.061648953
0,0,120,-5.0726512,-1.9414713,-2.4637611,1.410777,-1.7570945,-0.11663042
0,0,121,-5.1143526,-1.9831937,-2.5053435,1.3681994,-1.8076696,-0.17140728
0,0,122,-5.1562866,-2.0250811,-2.547122,1.3255293,-1.8578296,-0.22600101
0,0,123,-5.1984544,-2.06713,-2.5890918,1.2827657,-1.9073369,-0.280431
0,0,124,-5.2408569,-2.1093376,-2.6312488,1.2399069,-1.956039,-0.33471472
0,0,125,-5.2834948,-2.1517023,-2.6735901,1.1969512,-2.0038574,-0.38886873
0,0,126,-5.3263689,-2.1942228,-2.7161136,1.1538965,-2.0507763,-0.44290692
0,0,127,-5.3694797,-2.2368986,-2.7588177,1.1107406,-2.0968294,-0.49684257
0,0,128,-5.4128276,-2.2797295,-2.8017016,1.0674807,-2.1420858,-0.55068749
0,0,129,-5.4564131,-2.3227161,-2.844765,1.0241143,-2.1866378,-0.60445256
0,0,130,-5.5002364,-2.3658591,-2.8880081,0.98063824,-2.2305895,-0.6581475
0,0,131,-5.5442978,-2.4091598,-2.9314316,0.93704951,-2.2740485,-0.71178118
0,0,132,-5.5885977,-2.4526196,-2.9750365,0.89334479,-2.3171195,-0.76536172
0,0,133,-5.6331364,-2.4962405,-3.0188242,0.84952061,-2.3599001,-0.81889612
0,0,134,-5.6779144,-2.5400246,-3.0627966,0.80557331,-2.4024767,-0.87239116
0,0,135,-5.7229322,-2.5839744,-3.1069558,0.76149911,-2.4449301,-0.92585243
0,0,136,-5.7681904,-2.6280928,-3.1513044,0.717294,-2.4873248,-0.97928569
0,0,137,-5.8136898,-2.6723827,-3.195845,0.67295384,-2.5297175,-1.0326951
0,0,138,-5.8594313,-2.7168475,-3.240581,0.62847426,-2.5721554,-1.086085
0,0,139,-5.9054162,-2.7614909,-3.2855157,0.58385069,-2.6146787,-1.1394596
0,0,140,-5.9516458,-2.8063169,-3.3306529,0.5390784,-2.6573181,-1.1928219
0,0,141,-5.9981217,-2.8513297,-3.3759968,0.49415243,-2.7000999,-1.246174
0,0,142,-6.0448457,-2.8965339,-3.4215517,0.44906756,-2.7430454,-1.2995199
0,0,143,-6.09182,-2.9419344,-3.4673226,0.40381836,-2.7861715,-1.3528611
0,0,144,-6.139047,-2.9875364,-3.5133144,0.35839921,-2.8294918,-1.4061987
0,0,145,-6.1865295,-3.0333454,-3.5595326,0.31280415,-2.8730172,-1.4595358
0,0,146,-6.2342705,-3.0793673,-3.6059832,0.26702699,-2.9167565,-1.5128736
0,0,147,-6.2822733,-3.1256084,-3.6526723,0.22106132,-2.960717,-1.5662123
0,0,148,-6.3305417,-3.1720753,-3.6996066,0.17490033,-3.0049047,-1.6195538
0,0,149,-6.3790799,-3.2187749,-3.746793,0.12853703,-3.0493246,-1.6728983
0,0,150,-6.4278921,-3.2657148,-3.794239,0.081964042,-3.0939813,-1.7262466
0,0,151,-6.4769832,-3.3129026,-3.8419526,0.035173766,-3.1388787,-1.7795991
0,0,152,-6.5263585,-3.3603467,-3.889942,-0.011841989,-3.1840204,-1.8329561
0,0,153,-6.5760234,-3.4080559,-3.9382164,-0.059091514,-3.2294103,-1.8863193
0,0,154,-6.6259841,-3.4560394,-3.986785,-0.10658366,-3.2750517,-1.9396874
0,0,155,-6.6762466,-3.5043069,-4.0356579,-0.15432755,-3.3209484,-1.99306
0,0,156,-6.726818,-3.552869,-4.0848459,-0.20233301,-3.3671043,-2.04644
0,0,157,-6.777705,-3.6017365,-4.1343601,-0.25060994,-3.4135234,-2.099825
0,0,158,-6.8289155,-3.650921,-4.1842126,-0.29916914,-3.46021,-2.1532161
0,0,159,-6.8804569,-3.700435,-4.2344163,-0.34802168,-3.5071685,-2.2066098
0,0,160,-6.9323376,-3.7502916,-4.2849848,-0.39717947,-3.5544039,-2.2600119
0,0,161,-6.9845659,-3.8005049,-4.3359327,-0.44665493,-3.6019215,-2.3134173
0,0,162,-7.0371504,-3.8510898,-4.3872757,-0.49646096,-3.6497265,-2.3668292
0,0,163,-7.0901,-3.9020622,-4.4390304,-0.54661184,-3.6978236,-2.4202449
0,0,164,-7.1434233,-3.9534393,-4.4912144,-0.59712198,-3.7462263,-2.4736582
0,0,165,-7.1971295,-4.0052392,-4.5438471,-0.64800675,-3.7949309,-2.5270976
0,0,166,-7.2512267,-4.0574818,-4.596949,-0.69928362,-3.8439497,-2.5805091
0,0,167,-7.3057235,-4.1101884,-4.6505423,-0.75096968,-3.8932903,-2.6339548
0,0,168,-7.3606272,-4.1633816,-4.7046506,-0.80308412,-3.9429581,-2.687384
0,0,169,-7.4159442,-4.2170864,-4.7593002,-0.85564743,-3.9929661,-2.7408183
0,0,170,-7.4716802,-4.2713295,-4.8145178,-0.90868078,-4.0433188,-2.7942578
0,0,171,-7.5278372,-4.3261399,-4.8703341,-0.96220821,-4.0940263,-2.8476974
0,0,172,-7.5844171,-4.3815494,-4.9267811,-1.0162541,-4.1450969,-2.901137
0,0,173,-7.6414165,-4.4375926,-4.9838936,-1.0708468,-4.1965414,-2.9545829
0,0,174,-7.6988269,-4.4943072,-5.0417101,-1.1260146,-4.2483681,-3.0080128
0,0,175,-7.7566362,-4.5517349,-5.1002707,-1.18179,-4.3005876,-3.0614556
0,0,176,-7.8148236,-4.6099208,-5.1596187,-1.2382075,-4.3532088,-3.1149112
0,0,177,-7.8733579,-4.6689149,-5.2198028,-1.2953041,-4.4062423,-3.1683081
0,0,178,-7.9321979,-4.7287721,-5.2808711,-1.3531208,-4.4596953,-3.2218116
0,0,179,-7.9912849,-4.7895534,-5.3428787,-1.4117016,-4.5135792,-3.2752208
0,0,180,-8.0505458,-4.8513248,-5.4058788,-1.4710942,-4.5678994,-3.3286481
0,0,181,-8.1098806,-4.91416,-5.4699282,-1.5313527,-4.622663,-3.3820683
0,0,182,-8.1691685,-4.9781382,-5.5350845,-1.5925293,-4.6778757,-3.4354279
0,0,183,-8.2282534,-5.0433489,-5.6013969,-1.6546879,-4.7335375,-3.4888346
0,0,184,-8.2869479,-5.109884,-5.6689079,-1.7178917,-4.7896492,-3.5422302
0,0,185,-8.3450321,-5.1778461,-5.737644,-1.7822105,-4.8462046,-3.595591
0,0,186,-8.4022564,-5.2473374,-5.8075974,-1.8477126,-4.9031918,-3.6490141
0,0,187,-8.4583106,-5.3184618,-5.8787229,-1.9144691,-4.9605913,-3.7023649
0,0,188,-8.5129084,-5.3913104,-5.9508784,-1.9825469,-5.0183857,-3.7556955
0,0,189,-8.5657225,-5.4659435,-6.0238257,-2.0520018,-5.0765182,-3.8090063
0,0,190,-8.6164504,-5.5423731,-6.0971299,-2.1228593,-5.1349493,-3.8622208
0,0,191,-8.6648345,-5.6205039,-6.1701315,-2.1951259,-5.1936013,-3.9155959
0,0,192,-8.7106848,-5.7000622,-6.2418116,-2.2687201,-5.2523788,-3.9689658
0,0,193,-8.7538972,-5.7804554,-6.310817,-2.3434615,-5.3111596,-4.0221251
0,0,194,-8.7944188,-5.8606297,-6.3754134,-2.4189729,-5.3697973,-4.0752448
0,0,195,-8.8324075,-5.9388251,-6.4337127,-2.4946578,-5.4281078,-4.1283441
0,0,196,-8.8679968,-6.0124468,-6.4840917,-2.5695048,-5.4858614,-4.1818269
0,0,197,-8.9014534,-6.0781983,-6.525578,-2.6420276,-5.5427846,-4.2348606
0,0,198,-8.9330702,-6.1327799,-6.5583369,-2.710276,-5.5986075,-4.2878983
0,0,199,-8.9631753,-6.1741382,-6.5834625,-2.7719044,-5.6529733,-4.3409735
0,0,200,-8.9920728,-6.2024647,-6.6026693,-2.8247314,-5.705583,-4.3941366
0,0,201,-9.0200352,-6.220049,-6.6178454,-2.8673414,-5.756093,-4.4467145
0,0,202,-9.047339,-6.2302817,-6.6306488,-2.8997662,-5.8042236,-4.4994995
0,0,203,-9.0742195,-6.2364021,-6.6423576,-2.9232731,-5.8497718,-4.5524627
0,0,204,-9.1008358,-6.2408286,-6.653903,-2.9400186,-5.8925672,-4.6051064
0,0,205,-9.1274126,-6.2452143,-6.6659586,-2.9523968,-5.9326272,-4.6579545
0,0,206,-9.1540046,-6.2505699,-6.6787815,-2.9623842,-5.9700339,-4.7107731
0,0,207,-9.1807308,-6.2573738,-6.6927304,-2.9713618,-6.0049648,-4.7622094
0,0,208,-9.2076961,-6.2659077,-6.7078027,-2.9805426,-6.0376719,-4.8155285
0,0,209,-9.2349052,-6.2762133,-6.7240879,-2.990436,-6.0684973,-4.8664763
0,0,210,-9.2625201,-6.2882893,-6.7415856,-3.0014691,-6.097743,-4.9201781
0,0,211,-9.2904098,-6.3020633,-6.7602849,-3.0138158,-6.1257372,-4.9751642
0,0,212,-9.3187185,-6.3174306,-6.7800575,-3.0275198,-6.1527957,-5.0246482
0,0,213,-9.3473848,-6.3342996,-6.8009418,-3.0426434,-6.1791707,-5.0766011
0,0,214,-9.3764796,-6.3525749,-6.8227889,-3.0590692,-6.2051431,-5.1285709
0,0,215,-9.4059631,-6.37209,-6.8456963,-3.0768556,-6.2308834,-5.179627
0,0,216,-9.4358271,-6.3928427,-6.8693775,-3.0958905,-6.2565633,-5.2292577
0,0,217,-9.4661177,-6.4147089,-6.8940077,-3.1160521,-6.2823011,-5.2825059
0,0,218,-9.4967319,-6.4375876,-6.9194323,-3.1373172,-6.3082052,-5.3346073
0,0,219,-9.5278054,-6.461411,-6.9455669,-3.1596373,-6.3343804,-5.3826008
0,0,220,-9.5592327,-6.4861487,-6.9724357,-3.1829143,-6.3608575,-5.4373469
0,0,221,-9.5909544,-6.5116882,-6.9999004,-3.207064,-6.3876357,-5.487599
0,0,222,-9.6231226,-6.5380143,-7.0281102,-3.2320771,-6.4148323,-5.537525
0,0,223,-9.6555688,-6.5650613,-7.0568447,-3.2578625,-6.4424207,-5.5808922
0,0,224,-9.688366,-6.5927873,-7.0861206,-3.2843869,-6.4704685,-5.642432
0,0,225,-9.7214924,-6.6211609,-7.1160032,-3.3116499,-6.4988956,-5.6981418
0,0,226,-9.7549521,-6.6501117,-7.1463642,-3.3395499,-6.5277514,-5.7413214
0,0,227,-9.7886833,-6.6796385,-7.1770879,-3.3680558,-6.5569767,-5.7911896
0,0,228,-9.8227053,-6.7096754,-7.208442,-3.3970877,-6.5866625,-5.8332118
0,0,229,-9.8569827,-6.7402181,-7.2400444,-3.426775,-6.6167184,-5.8904414
0,0,230,-9.8916306,-6.7712793,-7.2723278,-3.4569554,-6.6472368,-5.9364472
0,0,231,-9.9264549,-6.8027487,-7.304701,-3.4874426,-6.6781848,-5.9812581
0,0,232,-9.9615435,-6.8346952,-7.337613,-3.5186204,-6.709425,-6.0363985
0,0,233,-9.9969594,-6.8669932,-7.3708435,-3.550191,-6.7409962,-6.089889
0,0,234,-10.032471,-6.8996628,-7.4044076,-3.5821603,-6.7728901,-6.1239045
0,0,235,-10.068351,-6.9327942,-7.4382733,-3.6145102,-6.8052984,-6.1599989
0,0,236,-10.104386,-6.9662202,-7.4725047,-3.6471887,-6.8379307,-6.2258152
0,0,237,-10.140636,-6.9999426,-7.5070883,-3.6804089,-6.8708844,-6.2549321
0,0,238,-10.177106,-7.0340026,-7.5416792,-3.7137251,-6.9042346,-6.301284
0,0,239,-10.213821,-7.0685031,-7.5769109,-3.7476095,-6.937858,-6.3402107
0,0,240,-10.250621,-7.1031069,-7.6122018,-3.7815868,-6.9716943,-6.3667169
0,0,241,-10.28789,-7.1380173,-7.6477213,-3.8159481,-7.0059044,-6.4156472
0,0,242,-10.325045,-7.1733155,-7.6835352,-3.8507128,-7.0403555,-6.4926841
0,0,243,-10.362481,-7.2088597,-7.7197383,-3.8857236,-7.0749805,-6.5251053
0,0,244,-10.399962,-7.2445795,-7.7560682,-3.9208136,-7.1100611,-6.543972
0,0,245,-10.437746,-7.2805528,-7.7925176,-3.9564587,-7.1454579,-6.5902411
0,0,246,-10.475929,-7.3169004,-7.8290509,-3.9921247,-7.1807214,-6.6038795
0,0,247,-10.513885,-7.3532633,-7.8657859,-4.027788,-7.2165435,-6.5681297
0,0,248,-10.551963,-7.3898085,-7.9032511,-4.0640832,-7.2523166,-6.6308269
0,0,249,-10.590651,-7.4267685,-7.9405128,-4.1000863,-7.28846,-6.6395688
0,0,250,-10.629033,-7.4638826,-7.977867,-4.1367863,-7.3249083,-6.6788675
0,0,251,-10.667667,-7.5009284,-8.0149747,-4.1732573,-7.3615937,-6.6627779
